id,path,type,description
1,data/images/0.jpeg,外套,黑色的
2,data/images/1.jpg,上衣,短袖的、黑色的
3,data/images/2.jpg,上衣,有帽子的、深藍色的
4,data/images/3.jpg,長褲,棉質的、灰色的
5,data/images/4.jpg,背心,羽絨的、白色的
6,data/images/5.jpg,裙子,短的、咖啡色的
7,data/images/6.jpg,鞋子,黑色的
8,data/images/7.jpg,洋裝,碎花圖案、黃色的
9,data/images/8.jpg,長褲,白色的
10,data/images/9.jpg,背心,淺咖啡色
11,data/images/10.jpg,短褲,牛仔的、粉色的
12,data/images/11.jpg,短褲,牛仔的、藍色的
13,data/images/12.jpg,外套,毛絨的、淺杏色的
14,data/images/13.jpg,裙子,長的、灰色的
15,data/images/14.jpg,上衣,短袖的、紫色
16,data/images/15.jpg,外套,針織的、灰色的
17,data/images/16.jpg,襯衫,長袖的、咖啡色的
18,data/images/17.jpg,褲子,短的、黑色的
19,data/images/18.jpg,上衣,長袖的、白色的
20,data/images/19.jpg,上衣,橫條紋的、有領子的
21,data/images/20.jpg,襯衫,短袖的、直條紋的
22,data/images/21.jpg,帽子,綠色的
23,data/images/22.jpg,圍巾,紅色的
24,data/images/23.jpg,外套,皮質的、咖啡色的
25,data/images/24.jpg,褲子,白色的
26,data/images/25.jpg,鞋子,白色的
27,data/images/26.jpg,外套,毛絨的、藍色的
28,data/images/27.jpg,上衣,短袖的、黑色的、有領子的
29,data/images/28.jpg,上衣,短袖的、黃色的
30,data/images/29.jpg,外套,土黃色的
31,data/images/30.jpg,外套,牛仔的、藍色的